date,score
2020-09-03,0.4774284863817519
2020-09-04,0.29160192976909804
2020-09-05,0.26251501413747286
2020-09-06,0.17894341803823638
2020-09-07,-0.046295388648499095
2020-09-08,-0.11507212252993333
2020-09-09,0.02866766040707811
2020-09-10,-0.24975099477423243
2020-09-11,0.1386622034586393
2020-09-12,0.020145238362825828
2020-09-13,0.23858255904818337
2020-09-14,-0.23191539991286494
2020-09-15,-0.47078892503465924
2020-09-16,-0.3232963482538859
2020-09-17,0.032294911496779474
2020-09-18,-0.3782951281620906
2020-09-19,-0.28040673051561626
2020-09-20,-0.11026526909125478
2020-09-21,-0.11853801685830821
2020-09-22,-0.07358025312423706
2020-09-23,-0.2813301384449005
2020-09-24,0.2860188739640373
2020-09-25,0.11157355043623182
2020-09-26,-0.42509623625574106
2020-09-27,-0.3491091840497568
2020-09-28,-0.38565269134281116
2020-09-29,-0.3102313429976885
2020-09-30,-0.3940664846118134
2020-10-01,-0.3532799388025355
2020-10-02,-0.41065082134920006
2020-10-03,-0.37912924130078396
2020-10-04,-0.36492323230336204
